competitor_name,source_name,trigger_keyword
ООО "АРХИТЕХ ИИ",https://hh.ru/,Москва
ООО "АРХИТЕХ ИИ",https://hh.ru/
ООО "АРХИТЕХ ИИ",https://hh.ru/,Вакансия
ООО "АРХИТЕХ ИИ",https://www.nic.ru/
ООО "АРХИТЕХ ИИ",https://fedresurs.ru/,Москва
ООО "АРХИТЕХ ИИ",https://fedresurs.ru/,Суд
ООО "АРХИТЕХ ИИ",https://fedresurs.ru/,Банкротство
ООО "АРХИТЕХ ИИ",https://fedresurs.ru/
ООО "АРХИТЕХ ИИ",https://dev.vk.com/ru/reference
ООО "АРХИТЕХ ИИ",https://zakupki.gov.ru/,Тендер
ООО "АРХИТЕХ ИИ",https://zakupki.gov.ru/
ООО "АРХИТЕХ ИИ",https://news.google.com/,Москва
ООО "АРХИТЕХ ИИ",https://news.google.com/,Суд
ООО "АРХИТЕХ ИИ",https://news.google.com/,Банкротство
ООО "АРХИТЕХ ИИ",https://news.google.com/,Тендер
ООО "АРХИТЕХ ИИ",https://news.google.com/,Вакансия
ООО "АРХИТЕХ ИИ",https://kodik.ru/forum
ООО "АРХИТЕХ ИИ",https://kad.arbitr.ru/
ООО "АРХИТЕХ ИИ",https://kad.arbitr.ru/,Банкротство
ООО "АРХИТЕХ ИИ",https://www.fips.ru/iiss/db.xhtml
ООО "ПТП "СТАНДАРТ",https://hh.ru/,Москва
ООО "ПТП "СТАНДАРТ",https://hh.ru/,Вакансия
ООО "ПТП "СТАНДАРТ",https://www.nic.ru/
ООО "ПТП "СТАНДАРТ",https://fedresurs.ru/,
ООО "ПТП "СТАНДАРТ",https://dev.vk.com/ru/reference,Москва
ООО "ПТП "СТАНДАРТ",https://dev.vk.com/ru/reference,Суд
ООО "ПТП "СТАНДАРТ",https://dev.vk.com/ru/reference,Банкротство
ООО "ПТП "СТАНДАРТ",https://dev.vk.com/ru/reference,Тендер
ООО "ПТП "СТАНДАРТ",https://dev.vk.com/ru/reference,Вакансия
ООО "ПТП "СТАНДАРТ",https://zakupki.gov.ru/,Тендер
ООО "ПТП "СТАНДАРТ",https://news.google.com/,Москва
ООО "ПТП "СТАНДАРТ",https://news.google.com/,Суд
ООО "ПТП "СТАНДАРТ",https://news.google.com/,Банкротство
ООО "ПТП "СТАНДАРТ",https://news.google.com/,Тендер
ООО "ПТП "СТАНДАРТ",https://news.google.com/,Вакансия
ООО "ПТП "СТАНДАРТ",https://kodik.ru/forum
ООО "ПТП "СТАНДАРТ",https://kad.arbitr.ru/
ООО "ПТП "СТАНДАРТ",https://www.fips.ru/iiss/db.xhtml
Кодик,https://hh.ru/,Москва
Кодик,https://hh.ru/,Вакансия
Кодик,https://www.nic.ru/
Кодик,https://fedresurs.ru/
Кодик,https://dev.vk.com/ru/reference,Москва
Кодик,https://dev.vk.com/ru/reference,Суд
Кодик,https://dev.vk.com/ru/reference,Банкротство
Кодик,https://dev.vk.com/ru/reference,Тендер
Кодик,https://dev.vk.com/ru/reference,Вакансия
Кодик,https://zakupki.gov.ru/
Кодик,https://news.google.com/,Москва
Кодик,https://news.google.com/,Суд
Кодик,https://news.google.com/,Банкротство
Кодик,https://news.google.com/,Тендер
Кодик,https://news.google.com/,Вакансия
Кодик,https://kodik.ru/forum
Кодик,https://kad.arbitr.ru/
Кодик,https://www.fips.ru/iiss/db.xhtml
